reach_id,n_gauges,upstream_gauge_id,onreach_gauge_id,downstream_gauge_id,max_span_km,river_name,lat,lon,fimbench_id,fimbench_tier,n_fimbench,fimbench_huc8,up_dist_km,dn_dist_km,all_gauge_ids,swot_obs,mean_width_m,iris_slope_m_per_m,iris_slope_source,hand_runnable,has_iris,full_stack
74267300231,3,03294500,03294560,03294600,29.28,Ohio River,38.13499,-85.90368,Tier_1/AI_20250412_854320W381510N/AI_0_2m_20250412_854320W381510N_BM,Tier_1,1,05140101,20.63,10.44,03294500;03294560;03294600,4,494.0,1.083982208190764e-05,1_iris_v2.6,True,True,True
74268800051,3,03182970,03183500,03184000,31.65,Greenbrier River,37.72616,-80.61559,HWM/HWM_20160623_20160625_803841W374337N/HWM_10_0m_20160623_20160625_803841W374337N_BM,HWM,1,05050003,20.31,42.26,03182970;03183500;03184000,2,60.0,0.00175303885441,2_sword_v16,True,True,True
74268800071,3,03182890,03182970,03183500,22.25,Greenbrier River,37.73905,-80.48064,HWM/HWM_20160623_20160625_802806W374424N/HWM_10_0m_20160623_20160625_802806W374424N_BM,HWM,1,05050003,18.7,20.31,03182890;03182970;03183500,2,48.0,0.0011847517219197,1_iris_v2.6,True,True,True
74293300041,3,06818000,06818300,06820475,47.98,Missouri River,39.52461,-95.09407,Tier_3/S1A_20190615T00210_945942W393150N/S1A_9_0m_20190615T00210_945942W393150N_BM,Tier_3,1,10240011;10270104,42.14,34.72,06818000;06818300;06820475,2,246.0,0.0001653487873119,1_iris_v2.6,True,True,True
74295200071,3,06483950,06485500,06485910,47.53,Big Sioux River,42.81778,-96.58607,Tier_3/S1A_20190919T00215_963409W424227N/S1A_9_1m_20190919T00215_963409W424227N_BM;Tier_2/PSS_20190919T165541_963700W424518N/PSS_1_0m_20190919T165541_963700W424518N_BM;Tier_2/PSS_20240623T172530_962650W425825N/PSS_3_0m_20240623T172530_962650W425825N_BM,Tier_3;Tier_2,3,10170203;10170203;10170204;10230002,44.96,54.11,06483950;06485500;06485910,2,45.0,0.0002606022987268,1_iris_v2.6,True,True,True
75161000081,3,08114100,08116650,08116850,47.29,Brazos River,29.35372,-95.57785,Tier_1/AI_20170903_953036W293058N/AI_0_3m_20170903_953036W293058N_BM,Tier_1,1,12040205;12070104,39.7,39.74,08114100;08116650;08116850,2,121.0,0.0001609210399567,1_iris_v2.6,True,True,True
75161000101,3,08114000,08114100,08116650,30.9,Brazos River,29.54705,-95.62992,Tier_1/AI_20170903_953036W293058N/AI_0_3m_20170903_953036W293058N_BM,Tier_1,1,12040205;12070104,19.86,39.7,08114000;08114100;08116650,2,148.0,0.000211423820072,1_iris_v2.6,True,True,True
74295200031,3,06485500,06485910,06485950,35.62,Big Sioux River,42.61035,-96.51415,Tier_3/S1A_20190919T00215_963409W424227N/S1A_9_1m_20190919T00215_963409W424227N_BM,Tier_3,1,10170203,54.11,18.54,06485500;06485910;06485950,1,42.0,0.0004410697533787,1_iris_v2.6,True,True,True
73160400041,3,01549760,01551500,01553025,31.86,West Branch Susquehanna River,41.23453,-76.94404,HWM/HWM_20110906_20110912_765944W411532N/HWM_10_0m_20110906_20110912_765944W411532N_BM,HWM,1,02050206,28.86,28.73,01549760;01551500;01553025,2,156.0,,,False,False,False
73160700011,3,01513831,01515000,01531500,39.71,North Branch Susquehanna River,42.01498,-76.46509,HWM/HWM_20110906_20110912_763104W415811N/HWM_10_0m_20110906_20110912_763104W415811N_BM,HWM,1,02050103;02050105,20.82,38.45,01513831;01515000;01531500,2,96.0,,,False,False,False
